Id,Activity
CHEMBL2064389_1,active
CHEMBL3775897_1,active
CHEMBL4084868_1,active
CHEMBL2325098_1,active
CHEMBL2087358_1,active
CHEMBL1241863_1,active
CHEMBL56502_1,active
CHEMBL35820_1,active
CHEMBL2048903_1,active
CHEMBL2031303_1,active
CHEMBL3753444_1,active
CHEMBL248045_1,active
CHEMBL4441606_1,active
CHEMBL593987_1,active
CHEMBL4102214_1,active
CHEMBL4083249_1,active
CHEMBL4091569_1,active
CHEMBL3765815_1,active
CHEMBL2337363_1,active
CHEMBL1683970_1,active
CHEMBL3740923_1,active
CHEMBL4087243_1,active
CHEMBL4533153_1,active
CHEMBL4552065_1,active
CHEMBL3759961_1,active
CHEMBL245212_1,active
CHEMBL1090355_1,active
CHEMBL4095063_1,active
CHEMBL2064394_1,active
CHEMBL1277620_1,active
CHEMBL3357637_1,active
CHEMBL3092307_1,active
CHEMBL168661_1,active
CHEMBL1645474_1,active
CHEMBL4757104_1,active
CHEMBL3735474_1,active
CHEMBL343314_1,active
CHEMBL271705_1,active
CHEMBL306315_1,active
CHEMBL521472_1,active
CHEMBL1241864_1,active
CHEMBL3622659_1,active
CHEMBL3133758_1,active
CHEMBL1761931_1,active
CHEMBL3360618_1,active
CHEMBL1821878_1,active
CHEMBL293986_1,active
CHEMBL4800367_1,active
CHEMBL4637274_1,active
CHEMBL410253_1,active
CHEMBL1822065_1,active
CHEMBL519757_1,active
CHEMBL243628_1,active
CHEMBL139307_1,active
CHEMBL3805654_1,active
CHEMBL55993_1,active
CHEMBL4856592_1,active
CHEMBL63455_1,active
CHEMBL138940_1,active
CHEMBL574588_1,active
CHEMBL3325471_1,active
CHEMBL2419762_1,active
CHEMBL4094959_1,active
CHEMBL121260_1,active
CHEMBL391181_1,active
CHEMBL3957025_1,active
CHEMBL204420_1,active
CHEMBL4870560_1,active
CHEMBL4213741_1,active
CHEMBL428039_1,active
CHEMBL291753_1,active
CHEMBL539102_1,active
CHEMBL4755832_1,active
CHEMBL4575427_1,active
CHEMBL312001_1,active
CHEMBL339684_1,active
