ID,label
31507,Education
12238,Education
37232,Education
22248,Education
4589,Education
24893,Education
14299,Education
6108,Education
3942,Education
14107,Education
5875,Education
5533,Education
32197,Education
1673,Education
25694,Education
4058,Education
11243,Education
33086,Education
16586,Education
26182,Education
5715,Education
28624,Education
32717,Education
3155,Education
6384,Education
4217,Education
19057,Education
30432,Education
12503,Education
17571,Education
3378,Education
15483,Education
1048,Education
3840,Education
32645,Education
16541,Education
25450,Education
8140,Education
14265,Education
25577,Education
35273,Education
6272,Education
36910,Education
4915,Education
16728,Education
15118,Education
30958,Education
7142,Education
16938,Education
10579,Education
5503,Education
28823,Education
36355,Education
17553,Education
14874,Education
4351,Education
12032,Education
252,Education
6197,Education
30410,Education
35243,Education
12272,Education
31718,Education
13307,Education
1638,Education
34577,Education
29438,Education
7981,Education
23101,Education
33844,Education
32367,Education
27776,Education
23855,Education
12235,Education
20371,Education
1553,Education
13867,Education
6956,Education
11119,Education
5219,Education
608,Education
20817,Education
27652,Education
26274,Education
4775,Education
22955,Education
31389,Education
32646,Education
32974,Education
24735,Education
655,Education
6245,Education
9932,Education
23830,Education
29788,Education
16990,Education
7327,Education
33032,Education
8901,Education
25028,Education
32407,Education
23835,Education
70,Education
8459,Education
9170,Education
9986,Education
22128,Education
13589,Education
11494,Education
12958,Education
14137,Education
7845,Education
27293,Education
21482,Education
31499,Education
34538,Education
28117,Education
16323,Education
1332,Education
18949,Education
35866,Education
11378,Education
3861,Education
21127,Education
11488,Education
29599,Education
29065,Education
4148,Education
9403,Education
17364,Education
31914,Education
11388,Education
4571,Education
14186,Education
27222,Education
14950,Education
25720,Education
20974,Education
15391,Education
15101,Education
29966,Education
32770,Education
16549,Education
12378,Education
19599,Education
24371,Education
15998,Education
3519,Education
7780,Education
26624,Education
33175,Education
20769,Education
33312,Education
5513,Education
24572,Education
4851,Education
1337,Education
18515,Education
5011,Education
36949,Education
16290,Education
17187,Education
12512,Education
8821,Education
14575,Education
13174,Education
31150,Education
3105,Education
32147,Education
268,Education
37402,Education
37044,Education
30271,Education
1346,Education
1791,Education
27449,Education
15315,Education
12341,Education
6912,Education
36709,Education
725,Education
1278,Education
27292,Education
35231,Education
34790,Education
19725,Education
11472,Education
33223,Education
10305,Education
1864,Education
2247,Education
29068,Education
18759,Education
36583,Education
18619,Education
842,Education
18191,Education
7779,Education
5199,Education
10493,Education
1174,Education
20650,Education
22638,Education
11462,Education
16170,Education
31421,Education
19645,Education
9397,Education
22199,Education
23194,Education
18463,Education
25173,Education
27049,Education
18917,Education
20458,Education
16379,Education
2464,Education
5382,Education
2541,Education
14173,Education
32119,Education
12127,Education
36996,Education
26198,Education
9803,Education
4335,Education
24088,Education
8040,Education
11598,Education
25005,Education
273,Education
35533,Education
28289,Education
19940,Education
30723,Education
7932,Education
11153,Education
33778,Education
21500,Education
7615,Education
34575,Education
24194,Education
19828,Education
17843,Education
879,Education
22342,Education
28630,Education
34820,Education
9220,Education
5838,Education
18583,Education
3242,Education
36439,Education
13705,Education
2255,Education
22100,Education
25131,Education
4202,Education
14861,Education
22828,Education
1043,Education
15044,Education
23375,Education
6769,Education
25304,Education
22217,Education
22563,Education
12080,Education
24033,Education
10822,Education
19651,Education
12522,Education
37112,Education
19815,Education
22932,Education
3705,Education
2830,Education
2828,Education
28979,Education
4269,Education
25861,Education
4990,Education
27482,Education
800,Education
18906,Education
26278,Education
3068,Education
3474,Education
26517,Education
22233,Education
21647,Education
11513,Education
30475,Education
7100,Education
10890,Education
6328,Education
12105,Education
35335,Education
34732,Education
17860,Education
24778,Education
23842,Education
27190,Education
4401,Education
26729,Education
15117,Education
20520,Education
13837,Education
22019,Education
23746,Education
34139,Education
943,Education
20945,Education
27942,Education
37154,Education
26433,Education
34261,Education
22713,Education
18200,Education
1900,Education
27013,Education
36779,Education
11473,Education
12706,Education
34142,Education
25688,Education
30450,Education
22701,Education
21344,Education
1661,Education
9448,Education
14680,Education
28646,Education
1157,Education
27737,Education
30208,Education
9902,Education
1107,Education
23003,Education
32306,Education
31866,Education
11585,Education
12001,Education
15937,Education
3635,Education
15336,Education
13064,Education
1133,Education
26635,Education
14729,Education
24030,Education
25808,Education
5388,Education
25811,Education
14181,Education
13592,Education
26998,Education
25322,Education
19832,Education
36438,Education
465,Education
12408,Education
34821,Education
6857,Education
17278,Education
8570,Education
24241,Education
12637,Education
36556,Education
35106,Education
17542,Education
10853,Education
1786,Education
34597,Education
10708,Education
20438,Education
23844,Education
4,Education
25562,Education
10045,Education
22298,Education
16664,Education
1397,Education
28267,Education
36261,Education
16798,Education
24061,Education
18049,Education
19202,Education
15452,Education
25326,Education
1576,Education
23118,Education
21829,Education
22239,Education
27209,Education
18648,Education
17612,Education
16795,Education
18204,Education
911,Education
10829,Education
14068,Education
30388,Education
18372,Education
1396,Education
277,Education
16872,Education
12524,Education
35050,Education
8511,Education
12650,Education
16809,Education
16414,Education
9920,Education
7889,Education
75,Education
9152,Education
30601,Education
18137,Education
14774,Education
7815,Education
17539,Education
18829,Education
5654,Education
20736,Education
29514,Education
26001,Education
30624,Education
27436,Education
27335,Education
25575,Education
5640,Education
22772,Education
441,Education
25400,Education
2323,Education
33976,Education
1682,Education
31408,Education
6756,Education
33322,Education
27431,Education
20938,Education
11770,Education
14083,Education
29266,Education
853,Education
15741,Education
27004,Education
16031,Education
33352,Education
9960,Education
20340,Education
24065,Education
34089,Education
9240,Education
19100,Education
23719,Education
7901,Education
26801,Education
35084,Education
27876,Education
14154,Education
35919,Education
18716,Education
17204,Education
8420,Education
25456,Education
6996,Education
35246,Education
3633,Education
8435,Education
32055,Education
18267,Education
21165,Education
31342,Education
928,Education
15382,Education
17317,Education
3568,Education
4913,Education
2357,Education
33211,Education
31426,Education
19577,Education
4672,Education
8880,Education
35173,Education
21546,Education
26461,Education
27968,Education
27054,Education
36256,Education
6753,Education
12947,Education
16026,Education
32594,Education
24222,Education
31531,Education
24512,Education
6874,Education
13941,Education
4636,Education
28155,Education
3594,Education
14413,Education
15849,Education
27295,Education
5567,Education
35754,Education
13295,Education
23163,Education
13365,Education
22645,Education
4638,Education
27063,Education
17909,Education
29190,Education
9723,Education
12292,Education
14478,Education
28017,Education
14487,Education
17395,Education
18843,Education
34739,Education
6062,Education
3286,Education
35258,Education
14050,Education
3929,Education
31194,Education
28396,Education
11131,Education
14652,Education
19898,Education
23119,Education
2290,Education
6193,Education
27783,Education
10657,Education
24252,Education
17832,Education
26695,Education
17902,Education
12829,Education
8375,Education
16341,Education
9414,Education
26782,Education
32987,Education
11922,Education
11198,Education
9252,Education
18621,Education
6179,Education
21238,Education
11627,Education
13991,Education
6361,Education
32139,Education
4193,Education
21863,Education
5865,Education
251,Education
17282,Education
27199,Education
33088,Education
17521,Education
896,Education
19463,Education
24695,Education
23994,Education
11327,Education
584,Education
7231,Education
4815,Education
17292,Education
17782,Education
4667,Education
7580,Education
8610,Education
19536,Education
12181,Education
25760,Education
19626,Education
26467,Education
37303,Education
29047,Education
25979,Education
2525,Education
2561,Education
13153,Education
32504,Education
13561,Education
24764,Education
7651,Education
953,Education
34755,Education
36142,Education
1078,Education
8023,Education
22095,Education
33576,Education
34899,Education
36111,Education
18598,Education
21938,Education
33094,Education
15363,Education
10059,Education
16913,Education
32412,Education
23430,Education
24651,Education
25853,Education
33269,Education
16580,Education
3028,Education
33966,Education
16079,Education
23822,Education
22383,Education
30953,Education
34278,Education
14836,Education
10545,Education
34574,Education
10146,Education
24068,Education
27708,Education
4253,Education
3643,Education
8612,Education
16768,Education
27390,Education
12230,Education
8867,Education
22037,Education
23872,Education
1416,Education
32534,Education
36908,Education
30160,Education
7336,Education
3566,Education
3776,Education
15772,Education
31387,Education
19822,Education
29935,Education
1033,Education
19124,Education
37287,Education
27889,Education
30822,Education
6390,Education
19837,Education
6127,Education
15518,Education
1616,Education
25764,Education
3455,Education
6725,Education
11398,Education
20544,Education
25296,Education
10509,Education
33978,Education
7325,Education
25620,Education
21047,Education
5288,Education
32494,Education
13173,Education
26088,Education
6978,Education
26094,Education
6542,Education
32958,Education
21568,Education
35041,Education
13950,Education
2055,Education
2496,Education
5662,Education
14159,Education
14221,Education
25172,Education
21272,Education
21202,Education
9128,Education
11933,Education
31283,Education
28180,Education
10930,Education
15986,Education
28798,Education
36913,Education
1640,Education
18902,Education
17789,Education
29551,Education
24587,Education
31922,Education
4308,Education
26185,Education
4159,Education
31595,Education
36224,Education
6039,Education
33729,Education
3640,Education
12957,Education
18189,Education
24586,Education
32932,Education
36040,Education
35957,Education
10735,Education
12778,Education
6334,Education
31034,Education
14702,Education
6161,Education
37503,Education
10084,Education
83,Education
32218,Education
20097,Education
31392,Education
33671,Education
7427,Education
32869,Education
16517,Education
8931,Education
4160,Education
10765,Education
13744,Education
23899,Education
31689,Education
30199,Education
21306,Education
36786,Education
2111,Education
1807,Education
7870,Education
34976,Education
491,Education
17444,Education
16274,Education
26232,Education
18266,Education
18247,Education
24353,Education
1487,Education
32418,Education
13000,Education
22059,Education
15130,Education
20708,Education
61,Education
2858,Education
34322,Education
18712,Education
22901,Education
11667,Education
8470,Education
29120,Education
7516,Education
3585,Education
29870,Education
32883,Education
19103,Education
14964,Education
25290,Education
9562,Education
23663,Education
24932,Education
23006,Education
28880,Education
2791,Education
32616,Education
37200,Education
5685,Education
3899,Education
7416,Education
13066,Education
33862,Education
21601,Education
19026,Education
8326,Education
3197,Education
26050,Education
23950,Education
31622,Education
29229,Education
3396,Education
26937,Education
17489,Education
3356,Education
1319,Education
34207,Education
28606,Education
5525,Education
25388,Education
24158,Education
609,Education
17301,Education
23668,Education
2265,Education
37333,Education
37189,Education
32343,Education
16144,Education
5859,Education
2237,Education
14494,Education
9736,Education
18894,Education
16828,Education
23335,Education
23301,Education
26454,Education
8723,Education
19664,Education
15676,Education
34498,Education
509,Education
18078,Education
23364,Education
2851,Education
8468,Education
34733,Education
25139,Education
34743,Education
776,Education
27187,Education
30164,Education
16104,Education
4219,Education
20182,Education
31747,Education
30150,Education
13124,Education
23008,Education
14703,Education
23310,Education
3168,Education
7986,Education
14233,Education
29892,Education
36758,Education
19247,Education
17980,Education
14190,Education
28493,Education
27939,Education
1179,Education
35035,Education
27637,Education
30040,Education
35411,Education
36343,Education
27100,Education
11997,Education
34174,Education
24751,Education
28352,Education
19234,Education
25942,Education
2383,Education
13586,Education
17723,Education
30457,Education
7578,Education
30057,Education
6401,Education
24454,Education
22827,Education
25989,Education
36727,Education
27916,Education
9064,Education
7515,Education
11296,Education
20380,Education
9040,Education
6882,Education
18644,Education
30808,Education
28574,Education
8122,Education
22576,Education
31535,Education
263,Education
6215,Education
33854,Education
13743,Education
17484,Education
19327,Education
22231,Education
34796,Education
29923,Education
843,Education
31726,Education
7302,Education
20535,Education
23300,Education
12967,Education
573,Education
18508,Education
26267,Education
7917,Education
32788,Education
24139,Education
21807,Education
19633,Education
18499,Education
28098,Education
36105,Education
27349,Education
33242,Education
11477,Education
29644,Education
12581,Education
36452,Education
8986,Education
36882,Education
3593,Education
30613,Education
26134,Education
26190,Education
9728,Education
28062,Education
35670,Education
16710,Education
7893,Education
11448,Education
27173,Education
7133,Education
10669,Education
20321,Education
32878,Education
8146,Education
22133,Education
13340,Education
31420,Education
31446,Education
12740,Education
37301,Education
31737,Education
28588,Education
1603,Education
20016,Education
11778,Education
27477,Education
37588,Education
25011,Education
35217,Education
36180,Education
30331,Education
3931,Education
9358,Education
23138,Education
28819,Education
9845,Education
16054,Education
15274,Education
2279,Education
15397,Education
8500,Education
30151,Education
19398,Education
23030,Education
10779,Education
15286,Education
27933,Education
12619,Education
5286,Education
516,Education
7395,Education
27742,Education
9026,Education
8690,Education
35251,Education
33244,Education
28437,Education
26437,Education
16690,Education
31514,Education
1457,Education
21444,Education
8979,Education
17795,Education
20656,Education
12584,Education
32458,Education
36389,Education
25886,Education
7119,Education
33064,Education
25974,Education
8141,Education
19305,Education
4783,Education
18842,Education
7721,Education
35746,Education
6974,Education
26341,Education
21599,Education
11790,Education
21524,Education
15451,Education
14725,Education
6379,Education
30219,Education
10986,Education
7134,Education
5384,Education
16124,Education
22407,Education
27189,Education
36750,Education
32426,Education
12461,Education
30023,Education
12064,Education
25822,Education
15260,Education
33184,Education
33842,Education
32062,Education
3252,Education
17556,Education
31761,Education
18810,Education
2442,Education
29012,Education
37009,Education
32709,Education
30804,Education
26919,Education
14125,Education
2592,Education
35021,Education
30353,Education
34026,Education
1109,Education
16477,Education
24551,Education
1670,Education
7679,Education
35293,Education
9985,Education
33141,Education
25206,Education
2622,Education
29476,Education
20902,Education
24909,Education
12421,Education
35584,Education
11527,Education
4469,Education
16041,Education
23024,Education
20562,Education
17227,Education
36411,Education
4468,Education
5676,Education
10665,Education
32959,Education
29528,Education
1291,Education
4526,Education
30299,Education
18393,Education
5893,Education
5770,Education
11684,Education
32666,Education
14835,Education
28210,Education
10999,Education
8634,Education
14185,Education
8934,Education
1453,Education
34329,Education
27171,Education
15885,Education
5327,Education
6832,Education
36802,Education
23266,Education
1710,Education
11865,Education
10274,Education
7560,Education
791,Education
31840,Education
7565,Education
2982,Education
26285,Education
31842,Education
28722,Education
34605,Education
12705,Education
23500,Education
34488,Education
