ID,text,label
17428,TRANSPORT SYTEX / OEDA,Experience
15362,Appliquer la résine Avancé,Skills
37153,2020 - 2021 ¢ Formation en ligne sur le,Education
10240,Score: 820 (B2),Skills
29713,- Anglais :courant - Créole :courant,Skills
12680,Courant TOEIC (850),Skills
14105,"Etude de marché du Royaume Uni, Traduc-",Experience
6757,OOD m& apawate,Skills
24482,GEMMOLOGIE,Education
15041,Photoshop e000,Skills
36243,Y  Vérification du fonctionnement des équipements de travail et alerte en cas de disfonctionnement,Skills
35464,Fév. a Mars.2015 Ouvrier Second CEuvre,Experience
8200,Garde d'enfants,Experience
8341,- Chef de projet sur un événement commercial (Création de deux jours de déstockage),Experience
31323,PREDICTIS * Partenariat: chargée de recrutement pour Rouen. Déplacement au seins de I’entreprise pour,Experience
19918,". e Informatique: Powerpoint, Excel, Word, Access; logiciels de dessin (Flash, photoshop,",Skills
4475,Stage de deuxiéme année,Experience
6562,le 20 et 27 juin 2021,Experience
29444,00000,Skills
26072,Power point,Skills
24418,fournisseurs et des clients. Commandes des fournitures de bureau et divers matériels pour le,Experience
11711,¢ Accueil clientéle,Experience
18209,Formation centre d appel adm value rabat maroc,Experience
24341,"Conseil et orientation des clients, rangement et contrdéle des rayons.",Experience
20737,pool réparations.,Experience
19979,Janv.13-Juil 19 Directeur de site Simply market puis Auchan depuis 2017,Experience
35591,Transport RAVE Distribution,Experience
8517,Bonne maitrise de PhotoFiltre,Skills
14563,"& Taille de plants, dosages d'engrais dans le cadre d’une pépiniére qui faisait grandir ces plants en",Experience
99,Evolution formatrice en juin 2021 a octobre,Experience
33628,"Langues et Mobilité | Anglais : pratique professionnelle, niveau C1. Allemand : notions. Permis B.",Skills
19223,BAC D,Education
12989,Anglais Courant Francais Bilingue Arabe_ Natif Espagnol _Scolaire,Skills
3510,cit ECLIPSE ORACLE LINUX DOCKER QUASAR,Skills
29382,"renseignements, image de marque",Experience
21820,"traitement retour marchandise, ventes additionnelles, challenges,",Experience
13953,DESSINATEUR TEXTILE/ RESPONSABLE TECHNIQUE/TECHNICO-COMMERCIAL,Experience
30235,février 2001 - juillet 2001,Experience
35510,d’insertion en entreprise de 2 mois,Experience
1260,August 2018 - 1 month,Experience
5321,e Communiquer et coordonner la signature des pétion pour,Experience
14223,"Logiciels maitrisés : Word, Excel, Power Point, Cyland/Storland (ERP)",Education
29994,MARAUDES,Experience
19015,Gestion de stock / commande de,Skills
8450,"- Développement de site WEB PHP, HTLM/CSS",Skills
27714,d’hygiénes automatisée,Skills
11658,Used to reach brands by analysing their graphic identity,Experience
29910,> Coach et commercial dans des structures tennis orientées compétition,Experience
15809,Oct 18,Experience
20329,"Organisée, Rigoureuse",Skills
26499,Licence Administration Economique et Sociale,Education
1103,feiRStoce e 2021 : Double dipléme a PETS Montréal,Education
10904,Vision Back Office,Experience
21748,¢ Conseiller et renseigner la clientéle,Experience
17436,LYCEE EDOUARD BRANLY,Education
32752,1978 Niveau bac C Lycée Albert Chatelet Douai Nord,Education
1610,+ Usinage de pieces,Skills
27519,Particuliers | Juillet 2021 - Juillet 2021,Experience
6867,Poet emery,Education
31630,Réalisation d’entretiens bilans professionnels,Experience
3772,- Stage professionnel :Chargé de Communication Interne,Experience
32671,"* Création d’avant-projets : Emmanchement de joncs, restructuration d’un poste de",Experience
5658,INFORMATIQUES,Skills
2278,-Esprit collectif,Skills
6803,Radio Mars | Oct 2014 - Dec 2014,Experience
939,e Vente et relation client.,Experience
3787,01/11/2018 La Compagnie Nationale Aérienne,Experience
19505,Formation interne de MONOPRIX : fonctionnement de Toshiba,Education
37118,agents (de la saisie des variables jusqu’aux virements ),Experience
4688,2018-2020 Enseignante a la petite école d’Ealing en maternelle,Experience
36659,Présenter les produit et services commercialises par l'entreprise,Experience
12261,l'amélioration d'appareil de diagnostique té Technologique de Belfort Montbéliard),Experience
5155,Espagnol Le,Skills
19034,"2010 BTS Technico-Commercial ‘Boissons, Vins et Spiritueux’ -",Experience
37428,"Etés 2005-2006 Vendeuse a « Z », Voiron",Experience
18962,projet de FHADIMAC sur I’élaboration d’un gel,Experience
29803,"25 Sept. 2017: Doctorat en Sciences Economiques, Université de la Réunion,",Education
30868,B2I: acquis,Skills
4399,Stage d’observation au bloc opératoire,Experience
128,Oreka formation,Education
37395,"e Piloter et animer les rayons, suivi des résultats, dégustation journaliére",Experience
5595,événements,Experience
17433,/ juin 2016 INCENDIE ( EXTINCTEUR ) ATTESTATION; ADR SOLUTION 91700 SAINT,Education
20250,DEUG Economie et Gestion -,Education
11483,"-Convertisseur CNA, CAN et montage AOP",Skills
7762,-Autofécondation des lignes de mais,Experience
32102,Management specialization,Education
17055,d’approche ; conduire une réunion ; trouver des partenaires financiers ; produire,Experience
7955,-Accompagnant de ces personnes lors de leur déplacement dans,Experience
30970,© Juillet - aotit 2017 Préparateur de commandes - ScaOuest — Saint -Etienne de Montluc,Experience
25116,Travail en équip¢,Skills
16340,= Accueil physique & télephonique,Skills
23920,"-organiser les entretiens annuels, définir les objectifs de chaque collaborateur et des besoins en",Experience
2865,68 05/2021 - 07/2021 oe .,Experience
34903,t B EMPLOYE DE ¢ Gestion des leads,Experience
13949,Manager de production (6 ateliers). Responsable des achats. Gestion d’un réseau de sous-traitants,Experience
35664,mécanicien en grosse mécanique entretient et réparation.,Experience
13253,Relation client,Skills
33190,Prezi (Logiciel de présentation),Skills
20771,e Sens de l'organisation et gestion du personnel,Skills
16536,Téléconseillére,Experience
35526,sortis,Experience
26138,- Effectuer les mises hors et en service de tous types de matériel de,Experience
35623,Chauffeur SPL — Tournées régionales & nationales,Experience
8745,- Communication et conception de différents,Experience
11783,Modélisation des données,Skills
20379,Cours du soir en cours des deux langues,Education
14657,courants,Skills
8231,CDI étudiant 12h/semaine depuis mai 2021,Experience
17053,Bordeaux,Experience
11839,"(Photoshop, After Effects)",Skills
323,financiéres.,Experience
19387,Frangais : Trés bon,Skills
18603,"m 2015 - 2019 : Modératrice littéraire Indépendante, Lyon",Experience
13069,-Régles de salubrité et d'hygiéne publique,Skills
18113,ADJOINTE DE MAGASIN/ ANIMATRICE D'EQUIPE,Experience
1635,Mission :,Experience
1226,Member of ISAE,Education
1008,"i Mécanique des fluides, mécanique du solide, conception environnementale",Education
29395,e Management 9 personnes,Experience
5477,Evénementiel.,Education
26415,- Création et déploiement des éléments de comm autour des prestations et,Experience
8374,2019-2021,Education
35420,De 2016 4 2019 Licence Finance d'Entreprise,Education
7574,2020-2022,Experience
31368,e Intégration et formation des nouvelles recrues,Experience
23796,1990 Société de Diffusion de Données boursiéres — Paris — 75,Experience
17937,technicien d'essai spécialité injection plastique,Experience
26102,BEP ASAI (informatique),Education
29446,e Gestion Centre de Profits Livraison a Domicile Epicerie et Surgelés pour un Chiffre d'affaire,Experience
18811,¢ Autres : Suivi Pharmacopée Européenne &,Skills
28695,¢ Dessins en perspective,Skills
15987,ANGLAIS : courant,Skills
37145,Excel ed,Skills
37160,2016 - 2018 * CESS (€quivalent BAC Général,Education
22952,- Recrutement,Skills
33519,présenter la carte (Avancé),Skills
30921,rotation du gouvernail,Experience
16547,Logiciels,Skills
628,"- LinkedIn, Facebook, Instagram, Twitter",Skills
13987,CHAUDRONNIER,Experience
34399,PREPARATRICE DE COMMANDES,Experience
1152,d'ordonnances sous contrdéle du maitre de stage.,Experience
20053,Relations employeurs,Skills
26933,Stage en maison de retraite,Experience
16909,e Année e Dipléme d’Etudes En Langue Frangaise DELF B2 a,Education
19061,15h/semaine,Experience
19242,realiser l'ouverture et la fermeture du poin de vente Avancé,Skills
6291,"+ Atouts: Esprit d’équipe, Organisation, Communication, Présentation.",Experience
9211,2016/2017,Education
21488,premiéres :,Experience
29296,- Restructuration et Extension de |’école JJ Rousseau 4G Libourne (33). SP SC,Experience
23730,Martinon 4 Chasse Sur Rhéne,Experience
12826,= 6 semaines (stage),Experience
25268,Restaurants - Ecoles - Cuisines professionnelles,Skills
18887,= Déclaration congés payés et intempérie,Skills
27893,2017 SOMETAL. Peret. SERRURERIE METALLERIE. Garde-corps. Menuiseries.,Experience
24060,¢ Aisance dans la communication,Skills
34439,"Fondation du Patrimoine, Strasbourg « Avril,",Experience
19903,éducatrice en école élémentaire pour,Experience
649,"Mise en place d'événements promotionnels, « Rédaction de PLV pour le lancement",Experience
23222,Santoche ® Opérateur de production,Experience
2518,- 1° entreprise générale du batiment du bassin d’Arcachon,Experience
11068,ee?),Skills
18654,1995 : DIPLOME DE PUERICULTRICE AIDE SOIGNANTE,Education
8310,Construction stratégie de communication,Experience
30114,-Manutentionnaire,Experience
18586,= 2010: Université Lumiére Lyon II,Education
22306,Openclassrooms,Experience
18294,"> Serveur Web et messagerie : Apache, IIS, Exchange",Skills
8194,Accueil clients,Experience
5144,2021 - 2022 IUT Montpellier-Séte,Education
37418,2007 BAC PRO COMMERCE,Education
26295,-Rigoureuse,Skills
2385,Stage de un mois. Janvier - février 2020,Experience
23577,Protection civile de 1996 & 2005,Skills
9701,"Crawley, Royaume Uni Missions : Traitement des données de prospection pétroliére marine",Experience
32542,enfants qui pleur et tt aussi en moment de repas aidé la cuisiniére enoment de la préparation de repas.,Experience
8410,APPRENTICESHIP,Experience
16623,v Rigueur Administrative,Skills
12009,PROGRAMME BACHELOR IN MANAGEMENT,Education
14518,"> MS in Business, Plekhanov Russian University of Economics, Moscow (July, 2018)",Education
30511,"Organisation et animation de forums de recrutement, speed networking et soirées de recrutement",Skills
23438,"Restaurant la cave gourmande, Hotellerie / Restauration, 88300 Neufchateau",Experience
18117,Répartition des taches et contréle du travail effectuer.,Experience
3714,Google Digital Garage | 2022,Education
31500,e Monitoring the budget,Experience
26914,"Institut Supérieur du Transport de la Logistique, Sousse, TUNISIE",Education
30598,entretien annuel,Skills
26059,"Stage en SSRI/SLD, Le Brasset",Experience
3560,du Brevet avec mention assez-bien,Education
5139,(ota,Skills
33929,07/10/2019-25/10/2019,Experience
28877,1995-1997 : Bts Force de vente (Niort ),Education
26554,chaque sous-rayon afin d’aider le magasin a atteindre ses objectifs quantitatifs et,Experience
28996,e Bétonnage des ouvrages réalisés,Experience
4181,management,Skills
37219,Accademia Villa Bossi (2011),Experience
32404,la ligne de production,Experience
2893,"MEDIATRICE « BONS GESTES COVID », SERVICE HYGIENE PUBLIC ET",Experience
14339,linguistiques (Espagne - Madrid),Skills
27699,Réaliser la plonge,Experience
27615,e Rapprochement bancaire,Experience
243,* Microsoft Excel,Skills
29828,"Gestion des risques bancaires, gestion d’un portefeuille de clients, suivi de la",Experience
6885,Agency Receptionist (multiple experiences),Experience
17121,"Faculté de Finance Banque Comptabilité, Université de Lille",Education
22570,en liane et par telephone,Experience
