text,label
TRANSPORT SYTEX / OEDA,Experience
Appliquer la résine Avancé,Skills
2020 - 2021 ¢ Formation en ligne sur le,Education
Score: 820 (B2),Skills
- Anglais :courant - Créole :courant,Skills
Courant TOEIC (850),Skills
"Etude de marché du Royaume Uni, Traduc-",Experience
OOD m& apawate,Skills
GEMMOLOGIE,Education
Photoshop e000,Skills
Y  Vérification du fonctionnement des équipements de travail et alerte en cas de disfonctionnement,Skills
Fév. a Mars.2015 Ouvrier Second CEuvre,Experience
Garde d'enfants,Experience
- Chef de projet sur un événement commercial (Création de deux jours de déstockage),Experience
PREDICTIS * Partenariat: chargée de recrutement pour Rouen. Déplacement au seins de I’entreprise pour,Experience
". e Informatique: Powerpoint, Excel, Word, Access; logiciels de dessin (Flash, photoshop,",Skills
Stage de deuxiéme année,Experience
le 20 et 27 juin 2021,Experience
00000,Skills
Power point,Skills
fournisseurs et des clients. Commandes des fournitures de bureau et divers matériels pour le,Experience
¢ Accueil clientéle,Experience
Formation centre d appel adm value rabat maroc,Experience
"Conseil et orientation des clients, rangement et contrdéle des rayons.",Experience
pool réparations.,Experience
Janv.13-Juil 19 Directeur de site Simply market puis Auchan depuis 2017,Experience
Transport RAVE Distribution,Experience
Bonne maitrise de PhotoFiltre,Skills
"& Taille de plants, dosages d'engrais dans le cadre d’une pépiniére qui faisait grandir ces plants en",Experience
Evolution formatrice en juin 2021 a octobre,Experience
"Langues et Mobilité | Anglais : pratique professionnelle, niveau C1. Allemand : notions. Permis B.",Skills
BAC D,Education
Anglais Courant Francais Bilingue Arabe_ Natif Espagnol _Scolaire,Skills
cit ECLIPSE ORACLE LINUX DOCKER QUASAR,Skills
"renseignements, image de marque",Experience
"traitement retour marchandise, ventes additionnelles, challenges,",Experience
DESSINATEUR TEXTILE/ RESPONSABLE TECHNIQUE/TECHNICO-COMMERCIAL,Experience
février 2001 - juillet 2001,Experience
d’insertion en entreprise de 2 mois,Experience
August 2018 - 1 month,Experience
e Communiquer et coordonner la signature des pétion pour,Experience
"Logiciels maitrisés : Word, Excel, Power Point, Cyland/Storland (ERP)",Education
MARAUDES,Experience
Gestion de stock / commande de,Skills
"- Développement de site WEB PHP, HTLM/CSS",Skills
d’hygiénes automatisée,Skills
Used to reach brands by analysing their graphic identity,Experience
> Coach et commercial dans des structures tennis orientées compétition,Experience
Oct 18,Experience
"Organisée, Rigoureuse",Skills
Licence Administration Economique et Sociale,Education
feiRStoce e 2021 : Double dipléme a PETS Montréal,Education
Vision Back Office,Experience
¢ Conseiller et renseigner la clientéle,Experience
LYCEE EDOUARD BRANLY,Education
1978 Niveau bac C Lycée Albert Chatelet Douai Nord,Education
+ Usinage de pieces,Skills
Particuliers | Juillet 2021 - Juillet 2021,Experience
Poet emery,Education
Réalisation d’entretiens bilans professionnels,Experience
- Stage professionnel :Chargé de Communication Interne,Experience
"* Création d’avant-projets : Emmanchement de joncs, restructuration d’un poste de",Experience
INFORMATIQUES,Skills
-Esprit collectif,Skills
Radio Mars | Oct 2014 - Dec 2014,Experience
e Vente et relation client.,Experience
01/11/2018 La Compagnie Nationale Aérienne,Experience
Formation interne de MONOPRIX : fonctionnement de Toshiba,Education
agents (de la saisie des variables jusqu’aux virements ),Experience
2018-2020 Enseignante a la petite école d’Ealing en maternelle,Experience
Présenter les produit et services commercialises par l'entreprise,Experience
l'amélioration d'appareil de diagnostique té Technologique de Belfort Montbéliard),Experience
Espagnol Le,Skills
"2010 BTS Technico-Commercial ‘Boissons, Vins et Spiritueux’ -",Experience
"Etés 2005-2006 Vendeuse a « Z », Voiron",Experience
projet de FHADIMAC sur I’élaboration d’un gel,Experience
"25 Sept. 2017: Doctorat en Sciences Economiques, Université de la Réunion,",Education
B2I: acquis,Skills
Stage d’observation au bloc opératoire,Experience
Oreka formation,Education
"e Piloter et animer les rayons, suivi des résultats, dégustation journaliére",Experience
événements,Experience
/ juin 2016 INCENDIE ( EXTINCTEUR ) ATTESTATION; ADR SOLUTION 91700 SAINT,Education
DEUG Economie et Gestion -,Education
"-Convertisseur CNA, CAN et montage AOP",Skills
-Autofécondation des lignes de mais,Experience
Management specialization,Education
d’approche ; conduire une réunion ; trouver des partenaires financiers ; produire,Experience
-Accompagnant de ces personnes lors de leur déplacement dans,Experience
© Juillet - aotit 2017 Préparateur de commandes - ScaOuest — Saint -Etienne de Montluc,Experience
Travail en équip¢,Skills
